genre,store_name,business_hours,address,url,Cleaned_Address,Longitude,Latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ガソリンスタンド,Dr.Drive 飛鳥山SS / 日新商事(株),['08:00~20:00'],東京都北区滝野川3-55-12,N/A,東京都北区滝野川3-55-12,139.730957,35.748577,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,Dr.Drive セルフ昭島SS / 日新商事(株),['0:00~23:59'],東京都昭島市昭和町1-3-13,N/A,東京都昭島市昭和町1-3-13,139.367386,35.710262,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,Dr.Drive 高樹町SS / 山文商事(株),['0:00~23:59'],東京都港区南青山7-2-3,N/A,東京都港区南青山7-2-3,139.715042,35.658661,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,Dr.Drive 中野通りSS / 日新商事(株),['08:00~21:00'],東京都中野区弥生町4-26-6,N/A,東京都中野区弥生町4-26-6,139.668991,35.687782,['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00'],['08:00~21:00']
ガソリンスタンド,Dr.Drive セルフ赤羽SS / 日新商事(株),['0:00~23:59'],東京都北区志茂5-5-2,N/A,東京都北区志茂5-5-2,139.727341,35.782463,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,Dr.Drive 駒沢通り八雲SS / 日新商事(株),['08:00~20:00'],東京都目黒区八雲4-11-17,N/A,東京都目黒区八雲4-11-17,139.6698,35.625706,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,セルフ八王子高倉SS / 日新商事(株),['0:00~23:59'],東京都八王子市高倉町51-9,N/A,東京都八王子市高倉町51-9,139.368118,35.664768,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
ガソリンスタンド,羽村ニュータウンSS / (株)NSコーポレーション,['08:00~20:00'],東京都羽村市栄町2-9-23,N/A,東京都羽村市栄町2-9-23,139.309036,35.771614,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,オートジョイ八王子SS / 垣見油化(株),['08:00~20:00'],東京都八王子市楢原町436-3,N/A,東京都八王子市楢原町436-3,139.306595,35.680489,['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00'],['08:00~20:00']
ガソリンスタンド,Dr.Drive セルフ田園調布南SS / 日新商事(株),['0:00~23:59'],東京都大田区東嶺町41-17,N/A,東京都大田区東嶺町41-17,139.682159,35.582043,['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59'],['0:00~23:59']
