store_name,address,business_hours,Cleaned_Address,Longitude,Latitude
オブリステーション青梅インター / 三愛リテールサービス(株),東京都青梅市新町6-19-1,['04:00~27:00'],東京都青梅市新町6-19-1,139.3237,35.790577
Dr.Drive セルフ氷川下店 / (株)ENEOSフロンティア,東京都文京区大塚4-4-2,['0:00~23:59'],東京都文京区大塚4-4-2,139.735855,35.724838
Dr.Drive 前野町店 / 川端石油(株),東京都板橋区前野町2-26-1,['07:30~19:30'],東京都板橋区前野町2-26-1,139.687027,35.766468
セルフ池袋SS / 幸伸興業(株),東京都豊島区池袋1-16-28,['07:00~21:00'],東京都豊島区池袋1-16-28,139.711945,35.73801
Dr.Drive セルフ駒沢店 / (株)ENEOSフロンティア,東京都世田谷区新町2-1-2,['0:00~23:59'],東京都世田谷区新町2-1-2,139.652924,35.630257
Dr.Drive セルフ環七堀ノ内店 / (株)ENEOSフロンティア,東京都杉並区和田2-39-3,['0:00~23:59'],東京都杉並区和田2-39-3,139.654877,35.691071
三軒茶屋SS / 山文商事(株),東京都世田谷区三軒茶屋2-20-14,['08:00~21:00'],東京都世田谷区三軒茶屋2-20-14,139.663895,35.643215
環七大原TS / (株)東日本宇佐美,東京都世田谷区大原2-11-10,['0:00~23:59'],東京都世田谷区大原2-11-10,139.661453,35.670147
セルフ大杉SS / 日之出石油販売(株),東京都江戸川区大杉1-10-16,['0:00~23:59'],東京都江戸川区大杉1-10-16,139.876633,35.702995
上沼田SS / ヤジマ石油(株),東京都足立区鹿浜7-12-7,['07:00~20:00'],東京都足立区鹿浜7-12-7,139.763794,35.783268
セルフ錦糸町SS / ヤマヒロ(株),東京都墨田区江東橋4-10-1,['0:00~23:59'],東京都墨田区江東橋4-10-1,139.815384,35.693981
セルフ旗の台SS / 昭和礦油(株),東京都品川区旗の台1-3-21,['0:00~23:59'],東京都品川区旗の台1-3-21,139.704391,35.608044
セルフ十条台SS / (株)共栄オーメック,東京都北区上十条1-1-9,['07:00~22:00'],東京都北区上十条1-1-9,139.726364,35.758274
